NTT,Faisal,LMS,tbl_MaritalStatus,/,/,/,"Model 1,
Key: marital_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_NextOfKinRelationship,/,/,/,"Model 1,
Key: next_of_kin_relationship_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_Occupation,/,/,/,"Model 1,
Key: occupation_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_PaymentFrequency,/,/,/,"Model 1,
Key: payment_frequency_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_PaymentScheduleType,/,/,/,"Model 1,
Key: payment_schedule_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_ratetype,/,/,/,"Model 1,
Key: rate_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_RecordStatus,/,/,/,"Model 1
Key: record_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,ailab-lms,ailab-1a,NTT,,
NTT,Faisal,LMS,tbl_ReferenceRateType,/,/,/,"Model 1,
Key: reference_rate_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_Risk,/,/,/,"Model 1,
Key: risk_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_Security,/,/,/,"Model 1,
Key: security_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_TermType,/,/,/,"Model 1,
Key: term_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_Title,/,/,/,"Model 1,
Key: title_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
KIBB,,M21,AccountExecutive,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;einv-agent-profile,einv-1a-4,KIBB,,
KIBB,,M21,AccountExecutiveAddress,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,other,other-1a-3,KIBB,,
KIBB,,M21,AEType,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-3,KIBB,,
KIBB,,M21,BankAccount,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-3,KIBB,,
KIBB,,M21,Branch,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,einv-acc;einv-agent-profile,einv-1a-4,KIBB,,
KIBB,,M21,ClientType,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-3,KIBB,,
KIBB,,M21,Country,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-3,KIBB,,
KIBB,,M21,CountryState,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-3,KIBB,,
KIBB,,M21,Currency,/,/,/,Model 2A,,,,,,"RAW: All (Prod)
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,einv-ref,einv-4,KIBB,,
NTT,Faris,M21,Customer,/,/,/,"Model 3
Key: code
Partition: N/A",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
KIBB,,M21,NatureOfBusiness,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-3,KIBB,,
KIBB,,M21,Occupation,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-3,KIBB,,
KIBB,,M21,Race,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,other,other-1a-3,KIBB,,
NTT,Faris,M21,StatementReceipient,/,/,/,"Model 3
Key: code",,,,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
NTT,CK,M21 Files,M21_A_CUSTOMER_yyyyMMdd.txt,/,/,/,"Model 3
Key: Account_No
Partition: N/A",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod, copy only files to MapR)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
KIBB,,M21 Files,M21_A_TRX_yyyyMMdd.txt,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-3,KIBB,,
NTT,CK,M21 Files,M21_O_CUSTOMER_yyyyMMdd.txt,/,/,/,"Model 3
Key: Account_No
Partition: N/A",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod, copy only files to MapR)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,irem-acc-lob;einv-acc;einv-cust,irem-2a,NTT,,
KIBB,,M21 Files,M21_O_TRX_yyyyMMdd.txt,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-3,KIBB,,
NTT,CK,MHBOS,a_m_client,/,/,/,"Model 5B
Key: audit_date (YYYY-MM-DD HH)
Partition: year_month (audit_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: all from COM_R",,other,other-1a-4,NTT,"DEV, UAT",
NTT,CK,MHBOS,a_m_client_thirdparty,/,/,/,"Model 5B
Key: audit_date (YYYY-MM-DD HH)
Partition: YEAR_MONTH (audit_date in YYYYMMDD)",,,,,,"RAW: All (Prod only)
COM_T: all from COM_R",,irem-acc-bank,irem-2a,NTT,,
NTT,CK,MHBOS,ClientStockPrice (view),/,/,/,Model 2A,,,,,,"RAW: N/A (as it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",,irem-ledger;irem-stock-bal,irem-5a,NTT,,
